Level	TabIndex	ControlIndex	TableID	Caption	AlignTop	AlignLeft	Height	Width	FontName	FontSize	FontBold	FontItalic	FontColor	Color	ImageFileName	TableImage	TableImageFileType	LayoutModeType	TableName	TakeOut	Delivery	Online	StayOn	ApplySpecialPricing	SpecialPricingRate	BellNumber	StationID	OnlineOrderCompanyID	AccessPermissionRequired
1	0	26	13	T 1	399	5	85	100	Arial	14	1	0	-16777208	16749973				1	T 1	0	0	0	0	0	0	0	0	0	0
1	0	27	15	T 3	180	74	76	100	Arial	14	1	0	-16777208	12632256				1	T 3	0	0	0	0	0	0	0	0	0	0
1	0	28	2	T 9	93	289	85	100	Arial	14	1	0	-16777208	12632256				1	T 9	0	0	0	0	0	0	0	0	0	0
1	0	29	9	T 11	280	522	85	100	Arial	14	1	0	-16777208	12632256				1	T 11	0	0	0	0	0	0	0	0	0	0
1	0	30	19	T 17	306	354	85	100	Arial	14	1	0	-16777208	12632256				1	T 17	0	0	0	0	0	0	0	0	0	0
1	0	31	20	T 19	207	242	85	100	Arial	14	1	0	-16777208	12632256				1	T 19	0	0	0	0	0	0	0	0	0	0
1	0	32	8	T 14	545	522	85	100	Arial	14	1	0	-16777208	12632256				1	T 14	0	0	0	0	0	0	0	0	0	0
1	0	33	18	T 15	545	418	85	100	Arial	14	1	0	-16777208	12632256				1	T 15	0	0	0	0	0	0	0	0	0	0
1	0	34	10	T 16	545	312	85	100	Arial	14	1	0	-16777208	12632256				1	T 16	0	0	0	0	0	0	0	0	0	0
1	0	35	16	T 4	92	74	85	100	Arial	14	1	0	-16777208	12632256				1	T 4	0	0	0	0	0	0	0	0	0	0
0	1	0	0	Patio             	0	0	0	0	Arial	12	1	0	-16777208	12632256				1		0	0	0	0	0	0	0	0	0	0
1	1	0	24	Patio 3	116	388	100	120	Arial	12	1	0	-16777208	15858602				1	Patio 3	0	0	0	0	0	0	0	0	0	0
1	1	1	26	Patio 5	116	636	100	120	Arial	12	1	0	-16777208	15858602				1	Patio 5	0	0	0	0	0	0	0	0	0	0
1	1	2	22	Patio 6	116	762	100	120	Arial	12	1	0	-16777208	15858602				1	Patio 6	0	0	0	0	0	0	0	0	0	0
1	1	3	21	Patio 1	116	138	100	120	Arial	12	1	0	-16777208	15858602				1	Patio 1	0	0	0	0	0	0	0	0	0	0
1	1	4	23	Patio 2	293	138	100	120	Arial	12	1	0	-16777208	15858602				1	Patio 2	0	0	0	0	0	0	0	0	0	0
1	1	5	25	Patio 4	302	393	100	120	Arial	12	1	0	-16777208	15858602				1	Patio 4	0	0	0	0	0	0	0	0	0	0
